id,device_id,area,timestamp,voltage,current,power,energy,temperature,occupancy,created_at
25,LIB-01,Library,2026-08-22 17:43:37,235.6,3.52,829.31,0.7799,23.6,5,2026-08-23 12:17:06.610928
26,ADMIN-01,Administrative Office,2026-08-22 17:58:37,225.5,1.96,441.98,0.703,24.4,1,2026-08-23 12:17:06.610929
27,CLASS-01,Classroom 1,2026-08-22 17:58:37,231.0,0.56,129.36,0.1513,26.9,0,2026-08-23 12:17:06.610931
28,LAB-01,Computer Laboratory 1,2026-08-22 17:58:37,229.2,2.38,545.5,1.1132,23.6,0,2026-08-23 12:17:06.610932
29,LAB-02,Computer Laboratory 2,2026-08-22 17:58:37,230.5,3.41,786.0,1.0728,23.6,3,2026-08-23 12:17:06.610933
30,LIB-01,Library,2026-08-22 17:58:37,227.7,2.54,578.36,0.9245,23.7,0,2026-08-23 12:17:06.610935
31,ADMIN-01,Administrative Office,2026-08-22 18:13:37,229.1,0.75,171.82,0.746,24.9,0,2026-08-23 12:17:06.610936
32,CLASS-01,Classroom 1,2026-08-22 18:13:37,234.0,0.6,140.4,0.1864,26.3,0,2026-08-23 12:17:06.610937
33,LAB-01,Computer Laboratory 1,2026-08-22 18:13:37,229.7,0.99,227.4,1.1701,23.9,0,2026-08-23 12:17:06.610939
34,LAB-02,Computer Laboratory 2,2026-08-22 18:13:37,231.2,0.85,196.52,1.1219,23.4,0,2026-08-23 12:17:06.610940
35,LIB-01,Library,2026-08-22 18:13:37,229.9,2.78,639.12,1.0843,22.7,0,2026-08-23 12:17:06.610941
36,ADMIN-01,Administrative Office,2026-08-22 18:28:37,230.6,0.69,159.11,0.7858,24.5,0,2026-08-23 12:17:06.610943
37,CLASS-01,Classroom 1,2026-08-22 18:28:37,227.8,0.33,75.17,0.2052,26.8,0,2026-08-23 12:17:06.610944
38,LAB-01,Computer Laboratory 1,2026-08-22 18:28:37,225.0,0.99,222.75,1.2258,23.5,0,2026-08-23 12:17:06.610945
39,LAB-02,Computer Laboratory 2,2026-08-22 18:28:37,233.8,0.76,177.69,1.1663,24.2,0,2026-08-23 12:17:06.610947
40,LIB-01,Library,2026-08-22 18:28:37,235.4,2.24,527.3,1.2161,23.4,1,2026-08-23 12:17:06.610948
41,ADMIN-01,Administrative Office,2026-08-22 18:43:37,235.0,0.81,190.35,0.8334,24.6,0,2026-08-23 12:17:06.610950
42,CLASS-01,Classroom 1,2026-08-22 18:43:37,232.3,0.46,106.86,0.2319,26.8,0,2026-08-23 12:17:06.610951
43,LAB-01,Computer Laboratory 1,2026-08-22 18:43:37,230.6,0.71,163.73,1.2667,24.1,0,2026-08-23 12:17:06.610952
44,LAB-02,Computer Laboratory 2,2026-08-22 18:43:37,229.6,0.75,172.2,1.2093,24.0,0,2026-08-23 12:17:06.610953
45,LIB-01,Library,2026-08-22 18:43:37,232.8,3.18,740.3,1.4012,23.2,4,2026-08-23 12:17:06.610955
46,ADMIN-01,Administrative Office,2026-08-22 18:58:37,227.2,0.51,115.87,0.8624,24.3,0,2026-08-23 12:17:06.610956
47,CLASS-01,Classroom 1,2026-08-22 18:58:37,228.3,0.49,111.87,0.2599,26.2,0,2026-08-23 12:17:06.610957
48,LAB-01,Computer Laboratory 1,2026-08-22 18:58:37,231.2,0.68,157.22,1.306,24.2,0,2026-08-23 12:17:06.610959
49,LAB-02,Computer Laboratory 2,2026-08-22 18:58:37,234.5,1.14,267.33,1.2761,23.9,0,2026-08-23 12:17:06.610960
50,LIB-01,Library,2026-08-22 18:58:37,232.7,3.16,735.33,1.585,23.2,5,2026-08-23 12:17:06.610962
51,ADMIN-01,Administrative Office,2026-08-22 19:13:37,226.3,0.47,106.36,0.889,23.2,0,2026-08-23 12:17:06.610963
52,CLASS-01,Classroom 1,2026-08-22 19:13:37,231.0,0.6,138.6,0.2946,25.0,0,2026-08-23 12:17:06.610964
53,LAB-01,Computer Laboratory 1,2026-08-22 19:13:37,231.6,1.02,236.23,1.3651,23.1,0,2026-08-23 12:17:06.610966
54,LAB-02,Computer Laboratory 2,2026-08-22 19:13:37,230.9,1.04,240.14,1.3361,23.0,0,2026-08-23 12:17:06.610967
55,LIB-01,Library,2026-08-22 19:13:37,227.5,3.08,700.7,1.7602,22.5,4,2026-08-23 12:17:06.610968
56,ADMIN-01,Administrative Office,2026-08-22 19:28:37,225.0,0.8,180.0,0.934,23.9,0,2026-08-23 12:17:06.610969
57,CLASS-01,Classroom 1,2026-08-22 19:28:37,228.2,0.5,114.1,0.3231,24.8,0,2026-08-23 12:17:06.610971
58,LAB-01,Computer Laboratory 1,2026-08-22 19:28:37,230.1,1.01,232.4,1.4232,22.4,0,2026-08-23 12:17:06.610972
59,LAB-02,Computer Laboratory 2,2026-08-22 19:28:37,229.0,1.0,229.0,1.3934,22.7,0,2026-08-23 12:17:06.610973
60,LIB-01,Library,2026-08-22 19:28:37,228.1,2.59,590.78,1.9079,22.5,0,2026-08-23 12:17:06.610975
61,ADMIN-01,Administrative Office,2026-08-22 19:43:37,235.3,0.57,134.12,0.9675,23.5,0,2026-08-23 12:17:06.610976
62,CLASS-01,Classroom 1,2026-08-22 19:43:37,227.7,0.55,125.23,0.3544,24.6,0,2026-08-23 12:17:06.610977
63,LAB-01,Computer Laboratory 1,2026-08-22 19:43:37,228.2,0.7,159.74,1.4631,23.0,0,2026-08-23 12:17:06.610979
64,LAB-02,Computer Laboratory 2,2026-08-22 19:43:37,226.6,0.61,138.23,1.428,22.8,0,2026-08-23 12:17:06.610980
65,LIB-01,Library,2026-08-22 19:43:37,227.5,2.41,548.27,2.045,22.7,2,2026-08-23 12:17:06.610991
66,ADMIN-01,Administrative Office,2026-08-22 19:58:37,224.8,0.56,125.89,0.999,23.6,0,2026-08-23 12:17:06.610993
67,CLASS-01,Classroom 1,2026-08-22 19:58:37,226.6,0.43,97.44,0.3788,24.8,0,2026-08-23 12:17:06.610995
68,LAB-01,Computer Laboratory 1,2026-08-22 19:58:37,226.4,0.61,138.1,1.4976,22.3,0,2026-08-23 12:17:06.610996
69,LAB-02,Computer Laboratory 2,2026-08-22 19:58:37,231.1,0.86,198.75,1.4777,23.0,0,2026-08-23 12:17:06.610998
70,LIB-01,Library,2026-08-22 19:58:37,227.9,3.09,704.21,2.2211,22.7,4,2026-08-23 12:17:06.610999
71,ADMIN-01,Administrative Office,2026-08-22 20:13:37,226.9,0.75,170.18,1.0415,23.7,0,2026-08-23 12:17:06.611001
72,CLASS-01,Classroom 1,2026-08-22 20:13:37,232.4,0.37,85.99,0.4003,24.8,0,2026-08-23 12:17:06.611009
73,LAB-01,Computer Laboratory 1,2026-08-22 20:13:37,229.0,1.09,249.61,1.56,22.5,0,2026-08-23 12:17:06.611011
74,LAB-02,Computer Laboratory 2,2026-08-22 20:13:37,229.3,0.76,174.27,1.5213,22.7,0,2026-08-23 12:17:06.611012
75,LIB-01,Library,2026-08-22 20:13:37,232.2,0.62,143.96,2.2571,22.1,0,2026-08-23 12:17:06.611013
76,ADMIN-01,Administrative Office,2026-08-22 20:28:37,226.2,0.8,180.96,1.0867,23.2,0,2026-08-23 12:17:06.611015
77,CLASS-01,Classroom 1,2026-08-22 20:28:37,226.3,0.56,126.73,0.432,24.4,0,2026-08-23 12:17:06.611016
78,LAB-01,Computer Laboratory 1,2026-08-22 20:28:37,231.1,1.14,263.45,1.6259,23.1,0,2026-08-23 12:17:06.611018
79,LAB-02,Computer Laboratory 2,2026-08-22 20:28:37,233.2,0.66,153.91,1.5598,22.3,0,2026-08-23 12:17:06.611019
80,LIB-01,Library,2026-08-22 20:28:37,234.1,0.82,191.96,2.3051,21.9,0,2026-08-23 12:17:06.611020
81,ADMIN-01,Administrative Office,2026-08-22 20:43:37,233.1,0.74,172.49,1.1298,24.0,0,2026-08-23 12:17:06.611051
82,CLASS-01,Classroom 1,2026-08-22 20:43:37,225.9,0.42,94.88,0.4557,25.2,0,2026-08-23 12:17:06.611053
83,LAB-01,Computer Laboratory 1,2026-08-22 20:43:37,222.3,0.84,186.73,1.6726,23.0,0,2026-08-23 12:17:06.611055
84,LAB-02,Computer Laboratory 2,2026-08-22 20:43:37,232.0,0.73,169.36,1.6021,22.8,0,2026-08-23 12:17:06.611056
85,LIB-01,Library,2026-08-22 20:43:37,230.6,0.64,147.58,2.342,22.7,0,2026-08-23 12:17:06.611057
86,ADMIN-01,Administrative Office,2026-08-22 20:58:37,228.5,0.46,105.11,1.1561,23.0,0,2026-08-23 12:17:06.611059
87,CLASS-01,Classroom 1,2026-08-22 20:58:37,228.0,0.4,91.2,0.4785,24.9,0,2026-08-23 12:17:06.611060
88,LAB-01,Computer Laboratory 1,2026-08-22 20:58:37,230.6,0.62,142.97,1.7083,22.7,0,2026-08-23 12:17:06.611062
89,LAB-02,Computer Laboratory 2,2026-08-22 20:58:37,230.4,0.68,156.67,1.6413,22.1,0,2026-08-23 12:17:06.611063
90,LIB-01,Library,2026-08-22 20:58:37,229.8,1.1,252.78,2.4052,22.7,0,2026-08-23 12:17:06.611069
91,ADMIN-01,Administrative Office,2026-08-22 21:13:37,228.8,0.54,123.55,1.187,23.0,0,2026-08-23 12:17:06.611070
92,CLASS-01,Classroom 1,2026-08-22 21:13:37,229.8,0.52,119.5,0.5084,25.0,0,2026-08-23 12:17:06.611071
93,LAB-01,Computer Laboratory 1,2026-08-22 21:13:37,229.8,0.62,142.48,1.7439,22.5,0,2026-08-23 12:17:06.611073
94,LAB-02,Computer Laboratory 2,2026-08-22 21:13:37,229.9,0.72,165.53,1.6827,22.9,0,2026-08-23 12:17:06.611074
95,LIB-01,Library,2026-08-22 21:13:37,231.5,0.82,189.83,2.4527,22.7,0,2026-08-23 12:17:06.611076
96,ADMIN-01,Administrative Office,2026-08-22 21:28:37,230.0,0.83,190.9,1.2347,23.9,0,2026-08-23 12:17:06.611077
97,CLASS-01,Classroom 1,2026-08-22 21:28:37,223.7,0.51,114.09,0.5369,24.3,0,2026-08-23 12:17:06.611079
98,LAB-01,Computer Laboratory 1,2026-08-22 21:28:37,227.6,0.78,177.53,1.7883,22.5,0,2026-08-23 12:17:06.611087
99,LAB-02,Computer Laboratory 2,2026-08-22 21:28:37,227.3,0.67,152.29,1.7208,22.2,0,2026-08-23 12:17:06.611089
100,LIB-01,Library,2026-08-22 21:28:37,228.2,0.86,196.25,2.5018,21.9,0,2026-08-23 12:17:06.611090
101,ADMIN-01,Administrative Office,2026-08-22 21:43:37,230.2,0.8,184.16,1.2807,23.1,0,2026-08-23 12:17:06.611091
102,CLASS-01,Classroom 1,2026-08-22 21:43:37,228.0,0.47,107.16,0.5637,25.2,0,2026-08-23 12:17:06.611093
103,LAB-01,Computer Laboratory 1,2026-08-22 21:43:37,231.3,0.79,182.73,1.834,23.0,0,2026-08-23 12:17:06.611094
104,LAB-02,Computer Laboratory 2,2026-08-22 21:43:37,233.9,1.05,245.6,1.7822,23.1,0,2026-08-23 12:17:06.611096
105,LIB-01,Library,2026-08-22 21:43:37,232.9,0.65,151.39,2.5396,22.2,0,2026-08-23 12:17:06.611097
106,ADMIN-01,Administrative Office,2026-08-22 21:58:37,225.2,0.46,103.59,1.3066,23.4,0,2026-08-23 12:17:06.611098
107,CLASS-01,Classroom 1,2026-08-22 21:58:37,227.0,0.34,77.18,0.583,25.1,0,2026-08-23 12:17:06.611100
108,LAB-01,Computer Laboratory 1,2026-08-22 21:58:37,227.7,1.13,257.3,1.8983,22.2,0,2026-08-23 12:17:06.611101
109,LAB-02,Computer Laboratory 2,2026-08-22 21:58:37,233.0,1.11,258.63,1.8469,23.0,0,2026-08-23 12:17:06.611102
110,LIB-01,Library,2026-08-22 21:58:37,233.6,0.68,158.85,2.5793,22.5,0,2026-08-23 12:17:06.611104
111,ADMIN-01,Administrative Office,2026-08-22 22:13:37,227.1,0.89,202.12,1.3571,23.9,0,2026-08-23 12:17:06.611105
112,CLASS-01,Classroom 1,2026-08-22 22:13:37,233.0,0.59,137.47,0.6174,24.3,0,2026-08-23 12:17:06.611107
113,LAB-01,Computer Laboratory 1,2026-08-22 22:13:37,225.3,0.74,166.72,1.94,22.5,0,2026-08-23 12:17:06.611108
114,LAB-02,Computer Laboratory 2,2026-08-22 22:13:37,229.8,1.11,255.08,1.9107,22.7,0,2026-08-23 12:17:06.611109
115,LIB-01,Library,2026-08-22 22:13:37,233.6,0.87,203.23,2.6301,22.5,0,2026-08-23 12:17:06.611117
116,ADMIN-01,Administrative Office,2026-08-22 22:28:37,228.7,0.75,171.52,1.4,23.7,0,2026-08-23 12:17:06.611119
117,CLASS-01,Classroom 1,2026-08-22 22:28:37,232.4,0.52,120.85,0.6476,24.5,0,2026-08-23 12:17:06.611121
118,LAB-01,Computer Laboratory 1,2026-08-22 22:28:37,228.1,0.92,209.85,1.9925,22.1,0,2026-08-23 12:17:06.611122
119,LAB-02,Computer Laboratory 2,2026-08-22 22:28:37,227.3,0.61,138.65,1.9454,22.5,0,2026-08-23 12:17:06.611123
120,LIB-01,Library,2026-08-22 22:28:37,227.2,1.02,231.74,2.688,22.5,0,2026-08-23 12:17:06.611125
121,ADMIN-01,Administrative Office,2026-08-22 22:43:37,228.5,0.87,198.79,1.4497,23.8,0,2026-08-23 12:17:06.611127
122,CLASS-01,Classroom 1,2026-08-22 22:43:37,229.7,0.36,82.69,0.6683,24.7,0,2026-08-23 12:17:06.611128
123,LAB-01,Computer Laboratory 1,2026-08-22 22:43:37,231.3,0.68,157.28,2.0318,22.8,0,2026-08-23 12:17:06.611129
124,LAB-02,Computer Laboratory 2,2026-08-22 22:43:37,231.8,0.66,152.99,1.9836,23.0,0,2026-08-23 12:17:06.611131
125,LIB-01,Library,2026-08-22 22:43:37,231.1,0.78,180.26,2.7331,22.5,0,2026-08-23 12:17:06.611132
126,ADMIN-01,Administrative Office,2026-08-22 22:58:37,236.6,0.8,189.28,1.497,23.5,0,2026-08-23 12:17:06.611133
127,CLASS-01,Classroom 1,2026-08-22 22:58:37,223.5,0.54,120.69,0.6985,24.4,0,2026-08-23 12:17:06.611135
128,LAB-01,Computer Laboratory 1,2026-08-22 22:58:37,233.3,0.61,142.31,2.0674,23.0,0,2026-08-23 12:17:06.611136
129,LAB-02,Computer Laboratory 2,2026-08-22 22:58:37,230.3,0.85,195.75,2.0325,22.2,0,2026-08-23 12:17:06.611137
130,LIB-01,Library,2026-08-22 22:58:37,233.6,1.11,259.3,2.7979,22.8,0,2026-08-23 12:17:06.611139
131,ADMIN-01,Administrative Office,2026-08-22 23:13:37,226.8,0.78,176.9,1.5412,23.7,0,2026-08-23 12:17:06.611140
132,CLASS-01,Classroom 1,2026-08-22 23:13:37,232.0,0.39,90.48,0.7211,24.4,0,2026-08-23 12:17:06.611141
133,LAB-01,Computer Laboratory 1,2026-08-22 23:13:37,229.6,0.96,220.42,2.1225,22.9,0,2026-08-23 12:17:06.611143
134,LAB-02,Computer Laboratory 2,2026-08-22 23:13:37,228.2,1.0,228.2,2.0895,22.9,0,2026-08-23 12:17:06.611144
135,LIB-01,Library,2026-08-22 23:13:37,232.9,0.68,158.37,2.8375,21.9,0,2026-08-23 12:17:06.611145
136,ADMIN-01,Administrative Office,2026-08-22 23:28:37,227.8,0.88,200.46,1.5913,23.0,0,2026-08-23 12:17:06.611147
137,CLASS-01,Classroom 1,2026-08-22 23:28:37,232.3,0.57,132.41,0.7542,24.8,0,2026-08-23 12:17:06.611148
138,LAB-01,Computer Laboratory 1,2026-08-22 23:28:37,226.5,0.89,201.59,2.1729,22.7,0,2026-08-23 12:17:06.611149
139,LAB-02,Computer Laboratory 2,2026-08-22 23:28:37,230.9,0.87,200.88,2.1397,22.4,0,2026-08-23 12:17:06.611151
140,LIB-01,Library,2026-08-22 23:28:37,234.0,1.09,255.06,2.9013,22.1,0,2026-08-23 12:17:06.611152
141,ADMIN-01,Administrative Office,2026-08-22 23:43:37,233.5,0.82,191.47,1.6392,23.5,0,2026-08-23 12:17:06.611153
142,CLASS-01,Classroom 1,2026-08-22 23:43:37,231.6,0.34,78.74,0.7739,24.9,0,2026-08-23 12:17:06.611155
143,LAB-01,Computer Laboratory 1,2026-08-22 23:43:37,230.8,1.19,274.65,2.2416,22.3,0,2026-08-23 12:17:06.611156
144,LAB-02,Computer Laboratory 2,2026-08-22 23:43:37,227.2,1.02,231.74,2.1976,22.3,0,2026-08-23 12:17:06.611157
145,LIB-01,Library,2026-08-22 23:43:37,225.4,0.82,184.83,2.9475,22.1,0,2026-08-23 12:17:06.611159
146,ADMIN-01,Administrative Office,2026-08-22 23:58:37,225.9,0.71,160.39,1.6793,23.7,0,2026-08-23 12:17:06.611160
147,CLASS-01,Classroom 1,2026-08-22 23:58:37,230.8,0.33,76.16,0.7929,24.4,0,2026-08-23 12:17:06.611162
148,LAB-01,Computer Laboratory 1,2026-08-22 23:58:37,229.9,1.1,252.89,2.3048,23.1,0,2026-08-23 12:17:06.611163
149,LAB-02,Computer Laboratory 2,2026-08-22 23:58:37,226.4,1.13,255.83,2.2616,22.3,0,2026-08-23 12:17:06.611165
150,LIB-01,Library,2026-08-22 23:58:37,229.2,0.88,201.7,2.9979,22.0,0,2026-08-23 12:17:06.611166
151,ADMIN-01,Administrative Office,2026-08-23 00:13:37,231.1,0.51,117.86,1.7088,23.1,0,2026-08-23 12:17:06.611167
152,CLASS-01,Classroom 1,2026-08-23 00:13:37,233.9,0.4,93.56,0.8163,24.5,0,2026-08-23 12:17:06.611168
153,LAB-01,Computer Laboratory 1,2026-08-23 00:13:37,233.3,0.68,158.64,2.3445,22.9,0,2026-08-23 12:17:06.611170
154,LAB-02,Computer Laboratory 2,2026-08-23 00:13:37,227.8,0.6,136.68,2.2958,22.6,0,2026-08-23 12:17:06.611171
155,LIB-01,Library,2026-08-23 00:13:37,229.0,1.16,265.64,3.0643,21.9,0,2026-08-23 12:17:06.611173
156,ADMIN-01,Administrative Office,2026-08-23 00:28:37,225.7,0.77,173.79,1.7522,23.8,0,2026-08-23 12:17:06.611174
157,CLASS-01,Classroom 1,2026-08-23 00:28:37,230.3,0.47,108.24,0.8434,25.1,0,2026-08-23 12:17:06.611175
158,LAB-01,Computer Laboratory 1,2026-08-23 00:28:37,230.5,0.93,214.37,2.3981,22.7,0,2026-08-23 12:17:06.611177
159,LAB-02,Computer Laboratory 2,2026-08-23 00:28:37,233.2,1.13,263.52,2.3617,22.1,0,2026-08-23 12:17:06.611178
160,LIB-01,Library,2026-08-23 00:28:37,232.1,0.67,155.51,3.1032,22.7,0,2026-08-23 12:17:06.611179
161,ADMIN-01,Administrative Office,2026-08-23 00:43:37,233.9,0.84,196.48,1.8013,23.8,0,2026-08-23 12:17:06.611181
162,CLASS-01,Classroom 1,2026-08-23 00:43:37,229.5,0.57,130.81,0.8761,24.8,0,2026-08-23 12:17:06.611182
163,LAB-01,Computer Laboratory 1,2026-08-23 00:43:37,222.2,0.81,179.98,2.4431,23.1,0,2026-08-23 12:17:06.611183
164,LAB-02,Computer Laboratory 2,2026-08-23 00:43:37,231.8,1.06,245.71,2.4231,23.1,0,2026-08-23 12:17:06.611185
165,LIB-01,Library,2026-08-23 00:43:37,231.5,0.76,175.94,3.1472,22.8,0,2026-08-23 12:17:06.611186
166,ADMIN-01,Administrative Office,2026-08-23 00:58:37,234.5,0.68,159.46,1.8412,23.1,0,2026-08-23 12:17:06.611187
167,CLASS-01,Classroom 1,2026-08-23 00:58:37,228.8,0.59,134.99,0.9098,24.5,0,2026-08-23 12:17:06.611189
168,LAB-01,Computer Laboratory 1,2026-08-23 00:58:37,226.7,0.82,185.89,2.4896,22.7,0,2026-08-23 12:17:06.611190
169,LAB-02,Computer Laboratory 2,2026-08-23 00:58:37,232.2,0.92,213.62,2.4765,22.1,0,2026-08-23 12:17:06.611192
170,LIB-01,Library,2026-08-23 00:58:37,230.0,0.68,156.4,3.1863,22.3,0,2026-08-23 12:17:06.611193
171,ADMIN-01,Administrative Office,2026-08-23 01:13:37,233.1,0.81,188.81,1.8884,23.9,0,2026-08-23 12:17:06.611194
172,CLASS-01,Classroom 1,2026-08-23 01:13:37,226.2,0.43,97.27,0.9341,25.2,0,2026-08-23 12:17:06.611195
173,LAB-01,Computer Laboratory 1,2026-08-23 01:13:37,226.4,1.05,237.72,2.549,23.0,0,2026-08-23 12:17:06.611197
174,LAB-02,Computer Laboratory 2,2026-08-23 01:13:37,230.3,1.03,237.21,2.5358,22.8,0,2026-08-23 12:17:06.611198
175,LIB-01,Library,2026-08-23 01:13:37,233.2,0.97,226.2,3.2428,22.3,0,2026-08-23 12:17:06.611199
176,ADMIN-01,Administrative Office,2026-08-23 01:28:37,227.4,0.51,115.97,1.9174,23.8,0,2026-08-23 12:17:06.611204
177,CLASS-01,Classroom 1,2026-08-23 01:28:37,227.2,0.53,120.42,0.9642,24.4,0,2026-08-23 12:17:06.611205
178,LAB-01,Computer Laboratory 1,2026-08-23 01:28:37,228.8,1.04,237.95,2.6085,23.0,0,2026-08-23 12:17:06.611207
179,LAB-02,Computer Laboratory 2,2026-08-23 01:28:37,228.2,0.91,207.66,2.5877,22.7,0,2026-08-23 12:17:06.611208
180,LIB-01,Library,2026-08-23 01:28:37,232.0,0.93,215.76,3.2967,21.9,0,2026-08-23 12:17:06.611209
181,ADMIN-01,Administrative Office,2026-08-23 01:43:37,228.4,0.61,139.32,1.9522,24.0,0,2026-08-23 12:17:06.611211
182,CLASS-01,Classroom 1,2026-08-23 01:43:37,230.8,0.45,103.86,0.9902,25.1,0,2026-08-23 12:17:06.611212
183,LAB-01,Computer Laboratory 1,2026-08-23 01:43:37,231.2,0.82,189.58,2.6559,22.6,0,2026-08-23 12:17:06.611213
184,LAB-02,Computer Laboratory 2,2026-08-23 01:43:37,231.1,0.71,164.08,2.6287,22.2,0,2026-08-23 12:17:06.611215
185,LIB-01,Library,2026-08-23 01:43:37,234.9,1.14,267.79,3.3636,22.0,0,2026-08-23 12:17:06.611216
186,ADMIN-01,Administrative Office,2026-08-23 01:58:37,234.4,0.81,189.86,1.9997,23.6,0,2026-08-23 12:17:06.611218
187,CLASS-01,Classroom 1,2026-08-23 01:58:37,228.6,0.39,89.15,1.0125,24.7,0,2026-08-23 12:17:06.611269
188,LAB-01,Computer Laboratory 1,2026-08-23 01:58:37,232.6,0.68,158.17,2.6954,23.0,0,2026-08-23 12:17:06.611272
189,LAB-02,Computer Laboratory 2,2026-08-23 01:58:37,228.0,0.88,200.64,2.6789,22.6,0,2026-08-23 12:17:06.611274
190,LIB-01,Library,2026-08-23 01:58:37,227.3,0.63,143.2,3.3994,22.1,0,2026-08-23 12:17:06.611275
191,ADMIN-01,Administrative Office,2026-08-23 02:13:37,229.8,0.89,204.52,2.0508,23.9,0,2026-08-23 12:17:06.611277
192,CLASS-01,Classroom 1,2026-08-23 02:13:37,228.7,0.47,107.49,1.0394,24.8,0,2026-08-23 12:17:06.611278
193,LAB-01,Computer Laboratory 1,2026-08-23 02:13:37,230.1,0.61,140.36,2.7305,23.0,0,2026-08-23 12:17:06.611280
194,LAB-02,Computer Laboratory 2,2026-08-23 02:13:37,231.5,1.12,259.28,2.7437,22.9,0,2026-08-23 12:17:06.611281
195,LIB-01,Library,2026-08-23 02:13:37,228.9,1.05,240.35,3.4595,22.3,0,2026-08-23 12:17:06.611283
196,ADMIN-01,Administrative Office,2026-08-23 02:28:37,229.5,0.75,172.12,2.0938,23.8,0,2026-08-23 12:17:06.611284
197,CLASS-01,Classroom 1,2026-08-23 02:28:37,229.4,0.45,103.23,1.0652,24.6,0,2026-08-23 12:17:06.611285
198,LAB-01,Computer Laboratory 1,2026-08-23 02:28:37,231.0,0.71,164.01,2.7715,22.9,0,2026-08-23 12:17:06.611287
199,LAB-02,Computer Laboratory 2,2026-08-23 02:28:37,227.0,0.81,183.87,2.7897,22.1,0,2026-08-23 12:17:06.611288
200,LIB-01,Library,2026-08-23 02:28:37,231.9,1.07,248.13,3.5215,21.9,0,2026-08-23 12:17:06.611289
201,ADMIN-01,Administrative Office,2026-08-23 02:43:37,229.7,0.65,149.31,2.1311,23.7,0,2026-08-23 12:17:06.611291
202,CLASS-01,Classroom 1,2026-08-23 02:43:37,228.3,0.47,107.3,1.092,24.5,0,2026-08-23 12:17:06.611292
203,LAB-01,Computer Laboratory 1,2026-08-23 02:43:37,228.7,0.92,210.4,2.8241,22.3,0,2026-08-23 12:17:06.611293
